"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Research on Temporal and Spatial Short-Term Traffic Flow Forecasting Model based on Multi-Sensing Data","Y. Shao; Z. Wen; C. Jin; C. Gu; L. Wang","Zhejiang University of Technology, Hangzhou, China; Quzhou University, Quzhou, China; Anhui University, Hefei, China; Hangzhou Dianzi University, Hangzhou, China; The Southeast Digital Economy Development Research Institute, Quzhou, China","2022 International Symposium on Intelligent Robotics and Systems (ISoIRS)","2 Aug 2023","2022","","","103","106","The intelligent transportation system mainly includes freeway ramp control, active shift limit and active accident management system. Traffic flow prediction is the key input of active traffic control systems. Accurately predicting road traffic flow is the basic guarantee for the realization of intelligent transportation. In order to improve the prediction accuracy of road traffic flow, this paper proposes a short-term traffic flow prediction method based on the space-time fusion framework. This method uses traffic flow rate, occupancy rate and weather factors to make short-term predictions of traffic flow. Under the framework of space-time fusion, four traffic flow prediction methods are studied: deep neural networks, distributed random forests, gradient propulsion machines and the related performance of generalized linear models. The experiment uses traffic data from Shangtang Elevated Road in Hangzhou City for calibration and evaluation. The results show that under the framework of space-time fusion, the results obtained by the above four prediction models are very similar and can accurately predict road traffic flow. Among them, the accuracy of the distributed random forest model is better than the other three methods.","","978-1-6654-5521-3","10.1109/ISoIRS57349.2022.00028","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10196698","Traffic perception data;Short term traffic flow prediction;Intelligent transportation system;Deep learning;Spatiotemporal fusion model","Measurement;Roads;Transportation;Predictive models;Traffic control;Data models;Road traffic","backpropagation;deep learning (artificial intelligence);intelligent transportation systems;random forests;recurrent neural nets;road traffic;traffic control;traffic engineering computing","active accident management system;active shift limit;active traffic control systems;intelligent transportation system;prediction accuracy;prediction models;road traffic flow;short-term predictions;short-term traffic flow prediction method;space-time fusion framework;spatial short-term traffic flow forecasting model;traffic data;traffic flow prediction methods;traffic flow rate","","","","13","IEEE","2 Aug 2023","","","IEEE","IEEE Conferences"
"A Bus Arrival Time Prediction Method Based on Position Calibration and LSTM","Q. Han; K. Liu; L. Zeng; G. He; L. Ye; F. Li","School of Microelectronics and Communication Engineering, Chongqing University, Chongqing, China; School of Microelectronics and Communication Engineering, Chongqing University, Chongqing, China; School of Computer Science, Chongqing University, Chongqing, China; School of Computer Science, Chongqing University, Chongqing, China; School of Microelectronics and Communication Engineering, Chongqing University, Chongqing, China; School of Microelectronics and Communication Engineering, Chongqing University, Chongqing, China","IEEE Access","9 Mar 2020","2020","8","","42372","42383","Bus arrival time prediction not only provides convenience for passengers, but also helps to improve the efficiency of intelligent transportation system. Unfortunately, the low precision of bus-mounted GPS system, lack of real-time traffic information and poor performance of prediction model lead to low estimation accuracy - greatly influence bus service performance. Hence, in this paper, a GPS calibration method is put forward, while projection rules of specific road shapes are discussed. Moreover, two traffic factors, travel factor and dwelling factor, are defined to express real-time traffic state. Then, considering both historic data and real-time traffic condition, a hybrid dynamic BAT prediction factor, which achieves accuracy enhancement by taking into account traffic flow evaluation results and GPS position calibration, is defined. A LSTM training model is construct to realize BAT prediction. Experiment results demonstrate that our technique can provide a higher level of accuracy compared to methods based on traditional time-of-arrival techniques, especially in the accuracy of multi-stops BAT prediction.","2169-3536","","10.1109/ACCESS.2020.2976574","National Natural Science Foundation of China(grant numbers:61601066); Key Research and Development Projects of Chongqing Special Industries for Technological Innovation and Application Demonstration(grant numbers:cstc2018jszx-cyzdX0064); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9015964","Bus arrival time prediction;LSTM model;GPS data calibration","Predictive models;Global Positioning System;Roads;Real-time systems;Calibration;Data models;Meteorology","calibration;Global Positioning System;intelligent transportation systems;learning (artificial intelligence);recurrent neural nets;road traffic;road vehicles;traffic information systems","travel factor;dwelling factor;real-time traffic state;real-time traffic condition;hybrid dynamic BAT prediction factor;accuracy enhancement;account traffic flow evaluation results;GPS position calibration;LSTM training model;time-of-arrival techniques;bus arrival time prediction method;intelligent transportation system;bus-mounted GPS system;real-time traffic information;prediction model lead;low estimation accuracy;bus service performance;GPS calibration method;specific road shapes;traffic factors","","16","","28","CCBY","27 Feb 2020","","","IEEE","IEEE Journals"
"A Bus Arrival Time Prediction Method Based on GPS Position and Real-Time Traffic Flow","L. Jianmei; C. Dongmei; L. FengXi; H. Qingwen; C. Siru; Z. Lingqiu; C. Min","State Key Lab. of Vehicle NVH & Safety Technol., Chongqing, China; Chongqing University, Chongqing, Sichuan, CN; Chongqing University, Chongqing, Sichuan, CN; Chongqing University, Chongqing, Sichuan, CN; Beijing University of Posts and Telecommunications, Beijing, Beijing, CN; Chongqing University, Chongqing, Sichuan, CN; State Key Lab. of Vehicle NVH & Safety Technol., Chongqing, China","2017 IEEE 15th Intl Conf on Dependable, Autonomic and Secure Computing, 15th Intl Conf on Pervasive Intelligence and Computing, 3rd Intl Conf on Big Data Intelligence and Computing and Cyber Science and Technology Congress(DASC/PiCom/DataCom/CyberSciTech)","2 Apr 2018","2017","","","178","184","Time-of-arrival estimation is a key issue in the field of intelligent transportation research. In general, corresponding techniques are designed based on Global Positioning System (GPS) data. Unfortunately, the low precision of bus-mounted GPS system and lack of real-time traffic information lead to low estimation accuracy - greatly influence bus service performance. In this paper, a GPS calibration method is put forward, while projection rules of specific road shapes are discussed. Moreover, a real-time traffic evaluation algorithm is given. Then a hybrid dynamic prediction model, which achieves accuracy enhancement by taking into account traffic flow evaluation results and GPS position calibration, is proposed to predict the bus arrival time. Bus stop positions are used as reference points to verify effectiveness of proposed method. Bus data set is used to test effectiveness of proposed method. Test results demonstrate that our technique can provide a higher level of accuracy compared to methods based on traditional time-of-arrival techniques.","","978-1-5386-1956-8","10.1109/DASC-PICom-DataCom-CyberSciTec.2017.42","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8328385","Map-matching;Noise Point;GPS data;Bus arrival time","Global Positioning System;Roads;Calibration;Real-time systems;Predictive models;Electronic mail;Estimation","calibration;Global Positioning System;road traffic;road vehicles;time-of-arrival estimation;traffic information systems;transportation","bus stop positions;bus data set;time-of-arrival techniques;bus arrival time prediction method;real-time traffic flow;time-of-arrival estimation;intelligent transportation research;Global Positioning System data;real-time traffic information;low estimation accuracy;GPS calibration method;specific road shapes;real-time traffic evaluation algorithm;hybrid dynamic prediction model;accuracy enhancement;GPS position calibration;bus service performance;traffic flow evaluation;GPS data;bus-mounted GPS system","","6","","12","IEEE","2 Apr 2018","","","IEEE","IEEE Conferences"
"Long-Term Traffic Prediction Based on LSTM Encoder-Decoder Architecture","Z. Wang; X. Su; Z. Ding","College of Computer Science, Beijing Advanced Innovation Center for Future Internet Technology, Beijing University of Technology, Beijing, China; College of Computer Science, Beijing Advanced Innovation Center for Future Internet Technology, Beijing University of Technology, Beijing, China; Institute of Software, Chinese Academy of Sciences, Beijing, China","IEEE Transactions on Intelligent Transportation Systems","4 Oct 2021","2021","22","10","6561","6571","Accurate traffic flow prediction is becoming increasingly important for transportation planning, control, management, and information services of successful. Numerous existing models focus on short-term traffic forecasts, but effective long-term forecasting of traffic flows have become a challenging issue in recent years. To solve this problem, this paper proposes a deep learning architecture which consisting of two parts: the long short-term memory encoder-decoder structure at the bottom and the calibration layer at the top. In the encoder-decoder model, we propose an hard attention mechanism based on learning similar patterns to enhance neuronal memory and reduce the accumulation of error propagation. To correct some of the missing details, we design a control gate in the calibration layer to learn the predicted data in groups according to different forms. The proposed method is evaluated on real-world datasets and compared with other state-of-the-art methods. It is verified that our model can accurately learn local feature and long-term dependence, and has better accuracy and stability in long-term sequence prediction.","1558-0016","","10.1109/TITS.2020.2995546","National Key Research and Development Program of China(grant numbers:2017YFC0803300); Beijing Natural Science Foundation(grant numbers:4192004); National Natural Science of Foundation of China(grant numbers:61703013,91646201); Project of Beijing Municipal Education Commission(grant numbers:KM201810005023,KM201810005024); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9107249","Freeway traffic flow;long-term prediction;encoder-decoder;similar pattern;attention","Predictive models;Forecasting;Deep learning;Calibration;Market research;Neural networks;Prediction algorithms","forecasting theory;learning (artificial intelligence);neural net architecture;recurrent neural nets;road traffic;traffic engineering computing","long-term dependence;long-term sequence prediction;long-term traffic prediction;LSTM encoder-decoder architecture;accurate traffic flow prediction;transportation planning;information services;short-term traffic forecasts;long-term forecasting;traffic flows;deep learning architecture;long short-term memory encoder-decoder structure;calibration layer;hard attention mechanism;learning similar patterns;neuronal memory;control gate;error propagation","","60","","40","IEEE","3 Jun 2020","","","IEEE","IEEE Journals"
"DynaMIT2.0: Architecture Design and Preliminary Results on Real-Time Data Fusion for Traffic Prediction and Crisis Management","Y. Lu; R. Seshadri; F. Pereira; A. O'Sullivan; C. Antoniou; M. Ben-Akiva","Future Urban Mobility, Singapore-MIT Alliance for Research and Technology, Singapore; Massachusetts Institute of Technology (MIT), Cambridge, MA; Future Urban Mobility, Singapore-MIT Alliance for Research and Technology, Singapore; Future Urban Mobility, Singapore-MIT Alliance for Res. & Technol., Singapore; National Technical University of Athens, Athens, GR; Massachusetts Institute of Technology (MIT), Cambridge, MA","2015 IEEE 18th International Conference on Intelligent Transportation Systems","2 Nov 2015","2015","","","2250","2255","The ability to monitor and predict in real-time the state of the transportation network is a valuable tool for both transportation administrators and travellers. While many solutions exist for this task, they are generally much more successful in recurrent scenarios than in non-recurrent ones. Paradoxically, it is in the latter case that such tools can make the difference. Therefore, the dynamic traffic assignment and simulation based prediction system such as DynaMIT (1) demonstrates high effectiveness in the context of sudden network disturbance or demand pattern changes. This paper presents the design, development and implementation of new components and modules of DynaMIT 2.0 which is an extension of its predecessor with recent enhancements on online calibration, context mining, scenario analyser and strategy simulation capability. Also, some preliminary results are presented using Singapore expressway to show the actual benefit of the system.","2153-0017","978-1-4673-6596-3","10.1109/ITSC.2015.363","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7313455","","Calibration;Predictive models;Real-time systems;Data models;Prediction algorithms;Computational modeling;Sensors","data handling;data mining;emergency management;road traffic;sensor fusion;traffic information systems","DynaMIT2.0;architecture design;real-time data fusion;traffic prediction;crisis management;transportation network state monitoring;transportation network state prediction;transportation administration;travellers;dynamic traffic assignment;dynamic traffic simulation;sudden network disturbance;demand pattern changes;context mining;scenario analyser;strategy simulation capability;Singapore expressway","","12","","21","IEEE","2 Nov 2015","","","IEEE","IEEE Conferences"
"Travel Demand and Traffic Prediction with Cell Phone Data: Calibration by Mathematical Program with Equilibrium Constraints","R. Doorley; L. Alonso; A. Grignard; N. Maciá; K. Larson","Media Lab at the Massachusetts Institute of Technology, MA, USA; Media Lab at the Massachusetts Institute of Technology, MA, USA; Media Lab at the Massachusetts Institute of Technology, MA, USA; Actua Tech Foundation, Andorra; Media Lab at the Massachusetts Institute of Technology, MA, USA","2020 IEEE 23rd International Conference on Intelligent Transportation Systems (ITSC)","24 Dec 2020","2020","","","1","8","Transportation models allow for prediction of travel demands and design of interventions to improve the network performance. An essential component of such models is the origin-destination matrix, which is traditionally generated using roadside and/or household surveys. These surveys are expensive, time consuming and do not capture temporal variation in travel demand. Anonymised location data from cell phones present an alternative source of mobility information which is passively collected, widely available and naturally captures temporal trends. However, these data contain other biases which must be corrected for using more reliable data. In this study, data from the Radio Network Controller of the Andorran telecom company is combined with limited traffic count data in order to develop a calibrated urban transportation model. An initial trip matrix is generated from the telecom data and a parameterized correction model is used to modify the trip matrix before predicting traffic. The parameters of the correction model are optimized by solving a Mathematical Program with Equilibrium Constraints. Outof-sample predictions from the calibrated model are shown to agree well with actual traffic volumes. This approach can reduce or eliminate the need for travel surveys while improving understanding of travel demands and traffic.","","978-1-7281-4149-7","10.1109/ITSC45102.2020.9294614","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9294614","","Roads;Data models;Telecommunications;Calibration;Biological system modeling;Urban areas;Transportation","calibration;mathematical programming;matrix algebra;mobile computing;optimisation;road traffic;telecommunication traffic;traffic engineering computing;transportation","travel demand;traffic prediction;cell phone data;mathematical program;equilibrium constraints;transportation models;network performance;origin-destination matrix;roadside;anonymised location data;cell phones;captures temporal trends;Radio Network Controller;traffic count data;calibrated urban transportation model;initial trip matrix;telecom data;parameterized correction model;outof-sample predictions;calibrated model;travel surveys","","3","","42","IEEE","24 Dec 2020","","","IEEE","IEEE Conferences"
"Traffic State Spatial-Temporal Characteristic Analysis and Short-Term Forecasting Based on Manifold Similarity","Q. Liu; Y. Cai; H. Jiang; X. Chen; J. Lu","Jiangsu Key Laboratory of Urban ITS, Southeast University, Nanjing, China; Automotive Engineering Research Institute, Jiangsu University, Zhenjiang, China; Automotive Engineering Research Institute, Jiangsu University, Zhenjiang, China; Automotive Engineering Research Institute, Jiangsu University, Zhenjiang, China; Jiangsu Key Laboratory of Urban ITS, Southeast University, Nanjing, China","IEEE Access","13 Mar 2018","2018","6","","9690","9702","The study on the spatial-temporal characteristics of highway traffic flow is helpful to deeply understand the inherent evolution of highway traffic system and provide a theoretical basis for prediction and control of highway traffic flow. This paper makes an empirical analysis on the spatial-temporal characteristics of highway traffic flow using manifold similarity index and manifold learning technology. The time series of highway traffic flow is converted into the distance series containing manifold features to calculate the manifold distance between multi-section traffic flow data points, which are highly similar to spatial-temporal distribution of traffic flow speed parameters, and then, the levels calibration of traffic state is carried out according to the manifold distance, so as to reveal the distribution rule of spatial-temporal characteristics of highway traffic flow. Its prediction error is obviously lower than the traditional distance measurement method, which has higher accuracy. The research of this paper can provide new ideas and methods to reveal the highway traffic flow evolution and traffic state prediction.","2169-3536","","10.1109/ACCESS.2017.2788639","National Key Research and Development Program of China(grant numbers:2017YFB0102603); National Natural Science Foundation of China(grant numbers:U1564201,61601203,61403172,61773184); China Postdoctoral Science Foundation(grant numbers:2017M611729); Natural Science Foundation of the Jiangsu Higher Education Institutions of China(grant numbers:17KJB580003); Key Research and Development Program of Jiangsu Province(grant numbers:BE2016149); Key Project for the Development of Strategic Emerging Industries of Jiangsu Province(grant numbers:2016-1094,2015-1084); Key Laboratory for New Technology Application of Road Conveyance of Jiangsu Province(grant numbers:BM20082061503); Jiangsu University Scientific Research Foundation for Senior Professionals(grant numbers:16JDG046); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8242345","Traffic state;spatial-temporal characteristics;prediction;manifold similarity","Manifolds;Forecasting;Time series analysis;Feature extraction;Road transportation;Predictive models;Measurement","calibration;learning (artificial intelligence);road traffic;time series;traffic engineering computing","short-term forecasting;spatial-temporal characteristics;highway traffic system;manifold distance;multisection traffic flow data points;spatial-temporal distribution;traffic flow speed parameters;highway traffic flow evolution;traffic state prediction;distance series;distribution rule;manifold learning technology;manifold similarity index;highway traffic flow prediction;highway traffic flow control;trafiic state level calibration","","20","","45","OAPA","1 Jan 2018","","","IEEE","IEEE Journals"
"Cellular Traffic Prediction: A Deep Learning Method Considering Dynamic Nonlocal Spatial Correlation, Self-Attention, and Correlation of Spatiotemporal Feature Fusion","Z. Rao; Y. Xu; S. Pan; J. Guo; Y. Yan; Z. Wang","State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing, Wuhan University, Wuhan, China; State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing, Wuhan University, Wuhan, China; State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing, Wuhan University, Wuhan, China; School of Cyber Science and Engineering, Wuhan University, Wuhan, China; State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing, Wuhan University, Wuhan, China; State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing, Wuhan University, Wuhan, China","IEEE Transactions on Network and Service Management","10 Mar 2023","2023","20","1","426","440","Cellular traffic prediction will play a key role in the deployment of future smart cities. Although the current traffic prediction methods based on deep learning show better performance than traditional prediction methods, they still have the following problems: (1) In spatial domain, the correlations between cellular traffic features cannot be captured accurately in non-local (including “geographic adjacency” and long-distance) spatial areas. (2) In temporal domain, the correlation of different time-grained features is failed to consider. To address these problems, a deep learning method considering dynamic non-local spatial correlation, self-attention, and correlation of spatio-temporal feature fusion is proposed. In spatial domain, our method can accurately capture the spatial correlation and highlight the contribution of more relevant traffic in the non-local area by designing a NLG-NLAM model. In temporal domain, the correlations of time-periodic features with different granularities are considered to clarify the key roles of different periodic features and eliminate the influence of irrelevant cellular traffic features on the prediction by designing a calibration layer. Experimental results indicate that the proposed method shows better performance than other mainstream prediction methods on three real-world cellular traffic datasets.","1932-4537","","10.1109/TNSM.2022.3187251","National Key Research and Development Program of China(grant numbers:2021YFB2501103); National Natural Science Foundation of China(grant numbers:91738302); Key Projects of Natural Science Foundation of Hubei Province(grant numbers:2020CFA001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9810476","Cellular traffic prediction;deep learning;non-local spatial correlation;temporal correlation","Correlation;Predictive models;Deep learning;Feature extraction;Data models;Learning systems;Traffic control","deep learning (artificial intelligence);feature extraction;smart cities;spatiotemporal phenomena;telecommunication computing;telecommunication traffic","cellular traffic prediction;current traffic prediction methods;deep learning method;different periodic features;different time-grained features;future smart cities;irrelevant cellular traffic features;mainstream prediction methods;method considering dynamic nonlocal spatial correlation;nonlocal area;real-world cellular traffic datasets;relevant traffic;spatial domain;spatio-temporal feature fusion;spatiotemporal feature;temporal domain;time-periodic features;traditional prediction methods","","","","54","IEEE","29 Jun 2022","","","IEEE","IEEE Journals"
"A visual reverse parking system based on trajectory prediction","M. -W. Xu; S. -H. Pan","College of Electrical and Information Engineering, Guangxi University of science and technology, Liu-Zhou, China; College of Electrical and Information Engineering, Guangxi University of science and technology, Liu-Zhou, China","2017 IEEE 2nd Information Technology, Networking, Electronic and Automation Control Conference (ITNEC)","8 Feb 2018","2017","","","717","720","In order to assist the driver in completing of the reversing parking more accurate and to reduce accidents more effective. A visual reversing system based on trajectory prediction is designed with multi-sensor information acquisition and processing. The recent obstacles that is detected by the multi-channel ultrasonic and infrared sensors is displayed in real time. And the steering angle sensor measure real-time steering angle, which is used to calculate the reversing radius in the vehicle dynamics model. The real-time prediction trajectory was drawn and displayed in the video overlap technology depending on reversing radius calculated, the image collected and camera calibration algorithm. Through many experiments, it is demonstrated that the visual revere parking system achieve real-time detection of obstacle, reversing trajectory prediction is reasonable, guide drivers reversing more effectively.","","978-1-5090-6414-4","10.1109/ITNEC.2017.8284825","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8284825","Visual reverse parking system;Multi-sensor;Camera calibration algorithm;Trajectory prediction","Trajectory;Wheels;Acoustics;Cameras;Mathematical model;Real-time systems;Prediction algorithms","calibration;cameras;image sensors;road vehicles;sensor fusion;steering systems;traffic control","visual reverse parking system;trajectory prediction;infrared sensors;steering angle sensor measure real-time steering angle;driver","","","","8","IEEE","8 Feb 2018","","","IEEE","IEEE Conferences"
"A Simulation Study of Predicting Real-Time Conflict-Prone Traffic Conditions","C. Katrakazas; M. Quddus; W. -H. Chen","School of Civil and Building Engineering, Loughborough University, Loughborough, U.K.; School of Civil and Building Engineering, Loughborough University, Loughborough, U.K.; Aeronautical and Automotive Engineering Department, Loughborough University, Loughborough, U.K.","IEEE Transactions on Intelligent Transportation Systems","2 Oct 2018","2018","19","10","3196","3207","Current approaches to estimate the probability of a traffic collision occurring in real-time primarily depend on comparing traffic conditions just prior to collisions with normal traffic conditions. Most studies acquire pre-collision traffic conditions by matching the collision time in the national crash database with the time in the traffic database. Since the reported collision time sometimes differs from the actual time, the matching method may result in traffic conditions not representative of pre-collision traffic dynamics. In this paper, this is overcome through the use of highly disaggregated vehicle-based traffic data from a traffic micro-simulation (i.e., VISSIM) and the corresponding traffic conflicts data generated by the surrogate safety assessment model (SSAM). In particular, the idea is to use traffic conflicts as surrogate measures of traffic safety so that traffic collisions data are not needed. Three classifiers (i.e., support vector machines, k-nearest neighbours, and random forests) are then employed to examine the proposed idea. Substantial efforts are devoted to making the traffic simulation as representative of the real-world as possible by employing data from a motorway section in England. Four temporally aggregated traffic datasets (i.e., 30 s, 1 min, 3 min, and 5 min) are examined. The main results demonstrate the viability of using traffic micro-simulation along with the SSAM for real-time conflicts prediction and the superiority of random forests with 5-min temporal aggregation in the classification results. However, attention should be given to the calibration and validation of the simulation software so as to acquire more realistic traffic data, resulting in more effective prediction of conflicts.","1558-0016","","10.1109/TITS.2017.2769158","Engineering and Physical Sciences Research Council(grant numbers:EP/J011525/1); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8171202","Traffic safety;traffic conflicts;traffic micro-simulation;support vector machines (SVMs);k-nearest neighbours (k-NN);random forests (RFs)","Real-time systems;Safety;Data models;Software;Support vector machines;Predictive models;Vehicle dynamics","nearest neighbour methods;pattern classification;random processes;road safety;road traffic;road vehicles;support vector machines;traffic engineering computing","normal traffic conditions;pre-collision traffic conditions;national crash database;traffic database;pre-collision traffic dynamics;traffic microsimulation;surrogate safety assessment model;traffic safety;traffic collisions data;traffic simulation;real-time conflicts prediction;realistic traffic data;collision time;real-time conflict-prone traffic conditions prediction;traffic collision probability;matching method;vehicle-based traffic data;random forests;support vector machines;k-nearest neighbours;traffic conflicts data","","26","","64","CCBY","8 Dec 2017","","","IEEE","IEEE Journals"
