Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Smart Energy for Smart Transport","Lecture Notes in Intelligent Transportation and Infrastructure","","","","10.1007/978-3-031-23721-8","Eftihia G. NathanailNikolaos GavanasGiannis Adamos","2023","http://link.springer.com/book/10.1007/978-3-031-23721-8","Book"
"Recent Advances in Traffic Engineering","Lecture Notes in Civil Engineering","","","","10.1007/978-981-99-4464-4","Ashish DhamaniyaSai ChandIndrajit Ghosh","2024","http://link.springer.com/book/10.1007/978-981-99-4464-4","Book"
"Proceedings of the Sixth International Conference of Transportation Research Group of India","Lecture Notes in Civil Engineering","","","","10.1007/978-981-19-4204-4","Lelitha DeviMadhu ErrampalliAvijit MajiGitakrishnan Ramadurai","2023","http://link.springer.com/book/10.1007/978-981-19-4204-4","Book"
"Springer Handbook of Atmospheric Measurements","Springer Handbooks","","","","10.1007/978-3-030-52171-4","Thomas Foken","2021","http://link.springer.com/book/10.1007/978-3-030-52171-4","Book"
"Encyclopedic Reference of Genomics and Proteomics in Molecular Medicine","","","","","10.1007/3-540-29623-9","Prof. Dr. Detlev GantenProf. em. Dr. Klaus RuckpaulProf. Dr. Walter BirchmeierProf. Dr. Jörg T. EpplenProf. Dr. Klaus GenserDr. Manfred GossenDr. Birgit KerstenProf. Dr. Hans LehrachProf. Dr. Hartmut OschkinatProf. Dr. Patrizia RuizDr. Peter SchmiederProf. Dr. Erich WankerDr. Christiane Nolte","2006","http://link.springer.com/referencework/10.1007/3-540-29623-9","ReferenceWork"
"Proceedings of China SAE Congress 2022: Selected Papers","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-99-1365-7","","2023","http://link.springer.com/book/10.1007/978-981-99-1365-7","Book"
"Encyclopedia of Biophysics","","","","","10.1007/978-3-642-16712-6","Gordon C. K. Roberts","2013","http://link.springer.com/referencework/10.1007/978-3-642-16712-6","ReferenceWork"
"The New Palgrave Dictionary of Economics","","","","","10.1057/978-1-349-95189-5","","2018","http://link.springer.com/referencework/10.1057/978-1-349-95189-5","ReferenceWork"
"Advances in Road Infrastructure and Mobility","Sustainable Civil Infrastructures","","","","10.1007/978-3-030-79801-7","Dr. Amin AkhnoukhProf. Dr. Kamil KaloushMag. Magid ElabyadBrendan HallemanNihal ErianSamuel Enmon IICherylyn Henry","2022","http://link.springer.com/book/10.1007/978-3-030-79801-7","Book"
"Smart Cities, Green Technologies, and Intelligent Transport Systems","Communications in Computer and Information Science","","","","10.1007/978-3-031-17098-0","Cornel KleinMatthias JarkeMarkus HelfertKarsten BernsOleg Gusikhin","2022","http://link.springer.com/book/10.1007/978-3-031-17098-0","Book"
"Recent Advances in Civil Engineering","Lecture Notes in Civil Engineering","","","","10.1007/978-981-19-0189-8","Dr. Pala Gireesh KumarProf. Kolluru V. L. SubramaniamProf. S. Moses SanthakumarDr. Neelima Satyam D.","2022","http://link.springer.com/book/10.1007/978-981-19-0189-8","Book"
"Green Connected Automated Transportation and Safety","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-16-5429-9","Prof. Dr. Wuhong WangProf. Dr. Yanyan ChenProf. Dr. Zhengbing HeProf. Dr. Xiaobei Jiang","2022","http://link.springer.com/book/10.1007/978-981-16-5429-9","Book"
"Advances in Mobility-as-a-Service Systems","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-030-61075-3","Prof. Eftihia G. NathanailDr. Giannis AdamosIoannis Karakikes","2021","http://link.springer.com/book/10.1007/978-3-030-61075-3","Book"
"The Protein Protocols Handbook","Springer Protocols Handbooks","","","","10.1007/978-1-59745-198-7","John M. Walker","2009","http://link.springer.com/book/10.1007/978-1-59745-198-7","Book"
"Hybrid Intelligent Systems","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-27409-1","Ajith AbrahamTzung-Pei HongKetan KotechaKun MaPooja Manghirmalani MishraNiketa Gandhi","2023","http://link.springer.com/book/10.1007/978-3-031-27409-1","Book"
"2021 6th International Conference on Intelligent Transportation Engineering (ICITE 2021)","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-19-2259-6","Zhenyuan Zhang","2022","http://link.springer.com/book/10.1007/978-981-19-2259-6","Book"
"Springer Handbook of Robotics","Springer Handbooks","","","","10.1007/978-3-319-32552-1","Bruno SicilianoOussama Khatib","2016","http://link.springer.com/book/10.1007/978-3-319-32552-1","Book"
"Advances in Human Aspects of Transportation","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-80012-3","Dr. Neville Stanton","2021","http://link.springer.com/book/10.1007/978-3-030-80012-3","Book"
"Modelling and Simulation  for Autonomous Systems","Lecture Notes in Computer Science","","","","10.1007/978-3-030-98260-7","Ph.D. Jan MazalAdriano FagioliniPetr VasikMichele TuriAgostino BruzzoneProf. Dr. Stefan PicklVlastimil NeumannPetr Stodola","2022","http://link.springer.com/book/10.1007/978-3-030-98260-7","Book"
"Handbook of Climate Change Management","","","","","10.1007/978-3-030-57281-5","Dr. Johannes M. LuetzDr. Desalegn Ayal","2021","http://link.springer.com/referencework/10.1007/978-3-030-57281-5","ReferenceWork"
"Handbook of Smart Energy Systems","","","","","10.1007/978-3-030-97940-9","Michel FathiEnrico ZioPanos M. Pardalos","2023","http://link.springer.com/referencework/10.1007/978-3-030-97940-9","ReferenceWork"
"Springer Handbook of Robotics","","","","","10.1007/978-3-540-30301-5","Bruno Siciliano Prof.Oussama Khatib Prof.","2008","http://link.springer.com/referencework/10.1007/978-3-540-30301-5","ReferenceWork"
"Encyclopedia of Cancer","","","","","10.1007/978-3-662-46875-3","Manfred Schwab","2017","http://link.springer.com/referencework/10.1007/978-3-662-46875-3","ReferenceWork"
"Digital Technologies and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-29857-8","Saad MotahhirBadre Bossoufi","2023","http://link.springer.com/book/10.1007/978-3-031-29857-8","Book"
"Computational Collective Intelligence","Lecture Notes in Computer Science","","","","10.1007/978-3-031-41456-5","Ngoc Thanh NguyenJános BotzheimLászló GulyásManuel NúñezJan TreurGottfried VossenAdrianna Kozierkiewicz","2023","http://link.springer.com/book/10.1007/978-3-031-41456-5","Book"
"Plant Proteostasis","Methods in Molecular Biology","","","","10.1007/978-1-0716-2784-6","L. Maria LoisMarco Trujillo","2023","http://link.springer.com/book/10.1007/978-1-0716-2784-6","Book"
"Science and Technologies for Smart Cities","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","","","","10.1007/978-3-031-06371-8","Prof. Dr. Sara PaivaXuejun LiSérgio Ivan LopesNishu GuptaProf. Dr. Danda B. RawatDr. Asma PatelProf. Dr. Hamid Reza Karimi ","2022","http://link.springer.com/book/10.1007/978-3-031-06371-8","Book"
"Intelligent Computing","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-10467-1","Kohei Arai","2022","http://link.springer.com/book/10.1007/978-3-031-10467-1","Book"
"Intelligent Human Systems Integration 2020","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-030-39512-4","Prof. Tareq AhramProf. Waldemar KarwowskiDr. Alberto VergnanoProf. Francesco LealiProf. Redha Taiar","2020","http://link.springer.com/book/10.1007/978-3-030-39512-4","Book"
"Handbook of Dynamic Data Driven Applications Systems","","","","","10.1007/978-3-030-74568-4","Erik P. BlaschDr. Frederica DaremaDr. Sai RavelaDr. Alex J. Aved","2022","http://link.springer.com/book/10.1007/978-3-030-74568-4","Book"
"Computer Aided Systems Theory – EUROCAST 2022","Lecture Notes in Computer Science","","","","10.1007/978-3-031-25312-6","Roberto Moreno-DíazFranz PichlerAlexis Quesada-Arencibia","2022","http://link.springer.com/book/10.1007/978-3-031-25312-6","Book"
"Advanced Technologies, Systems, and Applications VII","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-17697-5","Naida AdemovićEdin MujčićMedžida MulićJasmin KevrićZlatan Akšamija","2023","http://link.springer.com/book/10.1007/978-3-031-17697-5","Book"
"Digital Technologies and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-73882-2","Prof. Saad MotahhirDr. Badre Bossoufi","2021","http://link.springer.com/book/10.1007/978-3-030-73882-2","Book"
"Web, Artificial Intelligence and Network Applications","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-030-44038-1","Leonard BarolliFlora AmatoFrancesco MoscatoTomoya EnokidoMakoto Takizawa","2020","http://link.springer.com/book/10.1007/978-3-030-44038-1","Book"
"Proceedings of International Conference on Communication and Computational Technologies","Algorithms for Intelligent Systems","","","","10.1007/978-981-19-3951-8","Sandeep KumarSaroj HiranwalS. D. PurohitMukesh Prasad","2023","http://link.springer.com/book/10.1007/978-981-19-3951-8","Book"
"Proceedings of the Fifth International Conference of Transportation Research Group of India","Lecture Notes in Civil Engineering","","","","10.1007/978-981-16-8259-9","Assoc. Prof. Akhilesh Kumar MauryaProf. Bhargab MaitraProf. Rajat RastogiAnimesh Das","2022","http://link.springer.com/book/10.1007/978-981-16-8259-9","Book"
"Smart Cities, Green Technologies, and Intelligent Transport Systems","Communications in Computer and Information Science","","","","10.1007/978-3-030-89170-1","Cornel KleinMarkus HelfertProf. Karsten BernsOleg Gusikhin","2021","http://link.springer.com/book/10.1007/978-3-030-89170-1","Book"
"Signal and Information Processing, Networking and Computers","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-19-9968-0","Yue WangYuyang LiuJiaqi ZouMengyao Huo","2023","http://link.springer.com/book/10.1007/978-981-19-9968-0","Book"
"Science and Technologies for Smart Cities","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","","","","10.1007/978-3-030-76063-2","Prof. Dr. Sara PaivaSérgio Ivan LopesRafik ZitouniNishu GuptaSérgio F. LopesTakuro Yonezawa","2021","http://link.springer.com/book/10.1007/978-3-030-76063-2","Book"
"Computational Science and Its Applications – ICCSA 2022 Workshops","Lecture Notes in Computer Science","","","","10.1007/978-3-031-10562-3","Prof. Dr. Osvaldo GervasiBeniamino MurganteSanjay MisraAna Maria A. C. RochaDr. Chiara Garau","2022","http://link.springer.com/book/10.1007/978-3-031-10562-3","Book"
"Advances in Electrical and Computer Technologies","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-19-1111-8","Thangaprakash SengodanM. MurugappanSanjay Misra","2022","http://link.springer.com/book/10.1007/978-981-19-1111-8","Book"
"The proceedings of the 16th Annual Conference of China Electrotechnical Society","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-19-1870-4","Prof. Xidong LiangProf. Yaohua LiProf. Jinghan HeProf. Qingxin Yang","2022","http://link.springer.com/book/10.1007/978-981-19-1870-4","Book"
"Encyclopedia of Database Systems","","","","","10.1007/978-1-4614-8265-9","Ling LiuM. Tamer Özsu","2018","http://link.springer.com/referencework/10.1007/978-1-4614-8265-9","ReferenceWork"
"Encyclopedia of Quality of Life and Well-Being Research","","","","","10.1007/978-94-007-0753-5","Alex C. Michalos","2014","http://link.springer.com/referencework/10.1007/978-94-007-0753-5","ReferenceWork"
"The Palgrave Handbook of Global Sustainability","","","","","10.1007/978-3-031-01949-4","Robert Brinkmann","2023","http://link.springer.com/referencework/10.1007/978-3-031-01949-4","ReferenceWork"
"Towards Connected and Autonomous Vehicle Highways","EAI/Springer Innovations in Communication and Computing","","","","10.1007/978-3-030-66042-0","Umar Zakir Abdul HamidDr. Fadi Al-Turjman","2021","http://link.springer.com/book/10.1007/978-3-030-66042-0","Book"
"Encyclopedia of Cancer","","","","","10.1007/978-3-642-16483-5","Manfred Schwab","2011","http://link.springer.com/referencework/10.1007/978-3-642-16483-5","ReferenceWork"
"Encyclopedia of Molecular Pharmacology","","","","","10.1007/978-3-540-38918-7","Dr. Stefan OffermannsDr. Walter Rosenthal","2008","http://link.springer.com/referencework/10.1007/978-3-540-38918-7","ReferenceWork"
"Handbook of Smart Cities","","","","","10.1007/978-3-030-69698-6","Juan Carlos Augusto","2021","http://link.springer.com/referencework/10.1007/978-3-030-69698-6","ReferenceWork"
"Mobile and Ubiquitous Systems: Computing, Networking and Services","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","","","","10.1007/978-3-030-94822-1","Takahiro HaraHirozumi Yamaguchi","2022","http://link.springer.com/book/10.1007/978-3-030-94822-1","Book"
"Applied Computer Sciences in Engineering","Communications in Computer and Information Science","","","","10.1007/978-3-319-66963-2","Juan Carlos Figueroa-GarcíaEduyn Ramiro López-SantanaJosé Luis Villa-RamírezRoberto Ferro-Escobar","2017","http://link.springer.com/book/10.1007/978-3-319-66963-2","Book"
"Encyclopedia of Wireless Networks","","","","","10.1007/978-3-319-78262-1","Xuemin (Sherman) ShenXiaodong LinKuan Zhang","2020","http://link.springer.com/referencework/10.1007/978-3-319-78262-1","ReferenceWork"
